probe	SYMBOL	ENTREZID	Length
ENSG00000124935.3	SCGB1D2	10647	480
ENSG00000169710.8	FASN	2194	9364
ENSG00000196136.17	SERPINA3	12	5007
ENSG00000273259.3	NA	NA	3067
ENSG00000163220.10	S100A9	6280	577
ENSG00000211899.9	IGHM	3507	1868
ENSG00000111640.14	GAPDH	2597	2981
ENSG00000234745.10	HLA-B	3106	3051
ENSG00000184009.9	ACTG1	71	2993
ENSG00000160862.12	AZGP1	563	2699
ENSG00000224389.8	C4B	721	7116
ENSG00000146648.17	EGFR	1956	12521
ENSG00000041982.15	TNC	3371	9636
ENSG00000099194.5	SCD	6319	5362
ENSG00000175356.12	SCUBE2	57758	7099
ENSG00000211897.8	IGHG3	3502	1268
ENSG00000250644.3	NA	NA	4807
ENSG00000143546.9	S100A8	6279	1006
ENSG00000237973.1	MTCO1P12	107075141	1543
ENSG00000087460.24	GNAS	2778	13320
ENSG00000145824.12	CXCL14	9547	1975
ENSG00000096384.19	HSP90AB1	3326	2980
ENSG00000089199.9	CHGB	1114	4535
ENSG00000142173.14	COL6A2	1292	5386
ENSG00000189058.8	APOD	347	2197
ENSG00000141736.13	ERBB2	2064	10321
ENSG00000167658.15	EEF2	1938	4027
ENSG00000171345.13	KRT19	3880	2336
ENSG00000197746.13	PSAP	5660	3239
ENSG00000120885.21	CLU	1191	6616
ENSG00000124942.13	AHNAK	79026	19465
ENSG00000070756.15	PABPC1	26986	4752
ENSG00000133112.16	TPT1	7178	7269
ENSG00000251562.7	NA	NA	8755
ENSG00000211679.2	IGLC3	3539	462
ENSG00000138326.18	RPS24	6229	4880
ENSG00000137154.12	RPS6	6194	2714
ENSG00000087086.14	FTL	2512	878
ENSG00000149925.17	ALDOA	226	6153
ENSG00000163359.15	COL6A3	1293	19633
ENSG00000106541.11	AGR2	10551	2845
ENSG00000198840.2	MT-ND3	4537	346
ENSG00000133110.14	POSTN	10631	5464
ENSG00000254709.7	IGLL5	100423062	1335
ENSG00000206503.12	HLA-A	3105	2710
ENSG00000143556.8	S100A7	6278	536
ENSG00000142156.14	COL6A1	1291	5343
ENSG00000233476.3	NA	NA	1384
ENSG00000164919.10	COX6C	1345	3066
ENSG00000198695.2	MT-ND6	4541	525
ENSG00000161016.17	RPL8	6132	2159
ENSG00000211675.2	IGLC1	3537	460
ENSG00000142192.20	APP	351	6316
ENSG00000204287.13	HLA-DRA	3122	1280
ENSG00000211895.4	IGHA1	3493	1112
ENSG00000080824.18	HSP90AA1	3320	5248
ENSG00000228253.1	MT-ATP8	4509	207
ENSG00000262074.6	NA	NA	791
ENSG00000156508.17	EEF1A1	1915	5948
ENSG00000126545.13	CSN1S1	1446	985
ENSG00000204525.16	HLA-C	3107	2507
ENSG00000084444.13	FAM234B	57613	6807
ENSG00000140443.13	IGF1R	3480	13509
ENSG00000135821.17	GLUL	2752	9032
ENSG00000100345.20	MYH9	4627	8959
ENSG00000100234.11	TIMP3	7078	4603
ENSG00000164733.20	CTSB	1508	7428
ENSG00000150991.14	UBC	7316	3898
ENSG00000170421.12	KRT8	3856	6881
ENSG00000164924.17	YWHAZ	7534	8555
ENSG00000100604.12	CHGA	1113	3102
ENSG00000102316.16	MAGED2	10916	2940
ENSG00000074800.13	ENO1	2023	3958
ENSG00000026025.15	VIM	7431	5158
ENSG00000141367.11	CLTC	1213	11836
ENSG00000167244.18	IGF2	3481	6259
ENSG00000133048.12	CHI3L1	1116	3408
ENSG00000263740.2	RN7SL4P	6030	295
ENSG00000113739.10	STC2	8614	6128
ENSG00000163399.15	ATP1A1	476	7261
ENSG00000196924.14	FLNA	2316	10585
ENSG00000111799.20	COL12A1	1303	12481
ENSG00000244731.7	C4A	720	7191
ENSG00000108298.9	RPL19	6143	2368
ENSG00000034510.5	TMSB10	9168	496
ENSG00000248527.1	MTATP6P1	106480796	681
ENSG00000116133.11	DHCR24	1718	4250
ENSG00000094755.16	GABRP	2568	4621
ENSG00000096696.13	DSP	1832	10093
ENSG00000175899.14	A2M	2	6384
ENSG00000167996.15	FTH1	2495	2030
ENSG00000158125.9	XDH	7498	6037
ENSG00000179218.13	CALR	811	2714
ENSG00000125730.16	C3	718	8328
ENSG00000139329.4	LUM	4060	3008
ENSG00000152661.7	GJA1	2697	3037
ENSG00000090382.6	LYZ	4069	1764
ENSG00000253755.1	NA	NA	1178
ENSG00000091831.22	ESR1	2099	13629
ENSG00000212907.2	MT-ND4L	4539	297
ENSG00000225630.1	MTND2P28	100652939	1044
ENSG00000269968.1	NA	NA	422
ENSG00000185624.14	P4HB	5034	5303
ENSG00000197249.13	SERPINA1	5265	4902
ENSG00000206652.1	RNU1-1	26871	164
ENSG00000106624.10	AEBP1	165	4955
ENSG00000100316.15	RPL3	6122	4787
ENSG00000175426.10	PCSK1	5122	5307
ENSG00000109971.13	HSPA8	3312	4849
ENSG00000185499.16	MUC1	4582	4717
ENSG00000108679.12	LGALS3BP	3959	3584
ENSG00000092841.18	MYL6	4637	4609
ENSG00000139644.12	TMBIM6	7009	6186
ENSG00000163191.5	S100A11	6282	680
ENSG00000281383.1	NA	NA	923
ENSG00000144381.16	HSPD1	3329	4245
ENSG00000011465.16	DCN	1634	12847
ENSG00000109436.7	TBC1D9	23158	5603
ENSG00000265972.5	TXNIP	10628	3625
ENSG00000167995.15	BEST1	7439	8930
ENSG00000104447.12	TRPS1	7227	11072
ENSG00000135480.15	KRT7	3855	4093
ENSG00000126709.14	IFI6	2537	865
ENSG00000196230.12	TUBB	203068	3359
ENSG00000003989.17	SLC7A2	6542	7905
ENSG00000134352.19	IL6ST	3572	9292
ENSG00000151892.14	GFRA1	2674	9678
ENSG00000243466.1	IGKV1-5	28299	532
ENSG00000204044.6	SLC12A5-AS1	109729184	2244
ENSG00000211892.3	IGHG4	3503	1119
ENSG00000156675.15	RAB11FIP1	80223	9602
ENSG00000158710.14	TAGLN2	8407	2487
ENSG00000104419.14	NDRG1	10397	9823
ENSG00000099953.9	MMP11	4320	5176
ENSG00000160932.10	LY6E	4061	2640
ENSG00000107485.15	GATA3	2625	3253
ENSG00000143320.8	CRABP2	1382	1100
ENSG00000110092.3	CCND1	595	4830
ENSG00000044574.7	HSPA5	3309	3908
ENSG00000106211.8	HSPB1	3315	1634
ENSG00000198077.10	CYP2A7	1549	2583
ENSG00000186081.11	KRT5	3852	4292
ENSG00000181617.5	FDCSP	260436	566
ENSG00000136068.14	FLNB	2317	13952
ENSG00000239951.1	IGKV3-20	28912	400
ENSG00000086548.8	CEACAM6	4680	3052
ENSG00000150687.11	PRSS23	11098	11725
ENSG00000171246.5	NPTX1	4884	6703
ENSG00000165949.12	IFI27	3429	4147
ENSG00000105894.11	PTN	5764	1713
ENSG00000283041.1	LOC729998	729998	1314
ENSG00000122176.10	FMOD	2331	3310
ENSG00000164326.4	CARTPT	9607	1216
ENSG00000198561.13	CTNND1	1500	8798
ENSG00000243649.8	CFB	629	4997
ENSG00000205542.10	TMSB4X	7114	1705
ENSG00000160182.2	TFF1	7031	551
ENSG00000166509.10	CLEC3A	10143	3007
ENSG00000067225.17	PKM	5315	8571
ENSG00000198034.10	RPS4X	6191	2982
ENSG00000182492.15	BGN	633	2453
ENSG00000187908.16	DMBT1	1755	8073
ENSG00000125691.12	RPL23	9349	5979
ENSG00000242265.5	PEG10	23089	6689
ENSG00000245532.7	NEAT1	283131	22767
ENSG00000182993.3	C12orf60	144608	4570
ENSG00000170458.13	CD14	929	1886
ENSG00000142949.16	PTPRF	5792	10712
ENSG00000156482.10	RPL30	6156	4027
ENSG00000229807.10	XIST	7503	19961
ENSG00000244255.5	NA	NA	4069
ENSG00000206585.1	RNVU1-7	26864	164
ENSG00000118785.13	SPP1	6696	2321
ENSG00000123416.15	TUBA1B	10376	3574
ENSG00000002834.17	LASP1	3927	7061
ENSG00000116299.16	ELAPOR1	57535	9300
ENSG00000111057.10	KRT18	3875	3218
ENSG00000211662.2	IGLV3-21	28796	602
ENSG00000127022.14	CANX	821	6235
ENSG00000104763.18	ASAH1	427	15378
ENSG00000134824.13	FADS2	9415	11026
ENSG00000169908.11	TM4SF1	4071	3668
ENSG00000110321.16	EIF4G2	1982	8655
ENSG00000085063.14	CD59	966	4942
ENSG00000159167.11	STC1	6781	4149
ENSG00000132475.10	H3-3B	3021	6134
ENSG00000166598.14	HSP90B1	7184	4695
ENSG00000164128.6	NPY1R	4886	4180
ENSG00000211949.3	IGHV3-23	28442	432
ENSG00000146731.10	CCT6A	908	3901
ENSG00000204262.11	COL5A2	1290	7156
ENSG00000186395.7	KRT10	3858	2144
ENSG00000076554.15	TPD52	7163	8197
ENSG00000211666.2	IGLV2-14	28815	402
ENSG00000011052.21	NME1-NME2	654364	1241
ENSG00000138696.10	BMPR1B	658	6312
ENSG00000201428.1	NA	NA	318
ENSG00000115415.18	STAT1	6772	6053
ENSG00000140545.14	MFGE8	4240	6837
ENSG00000211598.2	IGKV4-1	28908	538
ENSG00000039068.18	CDH1	999	6177
ENSG00000012660.13	ELOVL5	60481	3813
ENSG00000242371.1	IGKV1-39	28930	398
ENSG00000140526.17	ABHD2	11057	10345
ENSG00000198650.10	TAT	6898	5407
ENSG00000253729.7	PRKDC	5591	15417
ENSG00000026508.17	CD44	960	10057
ENSG00000205426.10	KRT81	3887	1929
ENSG00000141753.6	IGFBP4	3487	2200
ENSG00000071967.11	CYBRD1	79901	5176
ENSG00000115884.10	SDC1	6382	3595
ENSG00000263934.4	NA	NA	699
ENSG00000204592.8	HLA-E	3133	2975
ENSG00000132465.10	JCHAIN	3512	1680
ENSG00000086062.12	B4GALT1	2683	4901
ENSG00000236552.2	RPL13AP5	728658	612
ENSG00000137801.10	THBS1	7057	9158
ENSG00000137970.7	RPL7P9	653702	747
ENSG00000145423.4	SFRP2	6423	2032
ENSG00000205420.10	KRT6A	3853	2928
ENSG00000124422.11	USP22	23326	6808
ENSG00000108654.13	DDX5	1655	7319
ENSG00000200488.1	NA	NA	332
ENSG00000160710.15	ADAR	103	8356
ENSG00000074410.13	CA12	771	7313
ENSG00000255974.7	CYP2A6	1548	2226
ENSG00000167460.14	TPM4	7171	7414
ENSG00000172757.12	CFL1	1072	5863
ENSG00000196126.11	HLA-DRB1	3123	1229
ENSG00000196562.14	SULF2	55959	6657
ENSG00000164754.14	RAD21	5885	6192
ENSG00000084234.16	APLP2	334	7451
ENSG00000105372.6	RPS19	6223	3805
ENSG00000211663.2	IGLV3-19	28797	377
ENSG00000130635.15	COL5A1	1289	11189
ENSG00000142875.19	PRKACB	5567	6730
ENSG00000204628.11	RACK1	10399	5990
ENSG00000243678.11	NME2	4831	2632
ENSG00000038427.15	VCAN	1462	14831
ENSG00000222328.1	NA	NA	191
ENSG00000133316.15	WDR74	54663	4247
ENSG00000081479.12	LRP2	4036	16260
ENSG00000214485.6	RPL7P1	6174	747
ENSG00000089157.15	RPLP0	6175	4001
ENSG00000060718.20	COL11A1	1301	8512
ENSG00000186340.14	THBS2	7058	6397
ENSG00000138449.10	SLC40A1	30061	4330
ENSG00000143384.12	MCL1	4170	4371
ENSG00000149273.14	RPS3	6188	5894
ENSG00000186160.4	CYP4Z1	199974	1996
ENSG00000211637.2	IGLV4-69	28784	419
ENSG00000131171.12	SH3BGRL	6451	2304
ENSG00000264940.4	NA	NA	581
ENSG00000087245.12	MMP2	4313	4933
ENSG00000163513.17	TGFBR2	7048	4704
ENSG00000147065.16	MSN	4478	5971
ENSG00000211673.2	NA	NA	398
ENSG00000258017.1	NA	NA	1632
ENSG00000231500.6	RPS18	6222	1898
ENSG00000240382.3	IGKV1-17	28937	378
ENSG00000204389.9	HSPA1A	3303	2483
ENSG00000049540.16	ELN	2006	6542
ENSG00000164434.11	FABP7	2173	2728
ENSG00000077782.19	FGFR1	2260	12698
ENSG00000117983.17	MUC5B	727897	18598
ENSG00000134333.13	LDHA	3939	6210
ENSG00000104341.16	LAPTM4B	55353	3197
ENSG00000111371.15	SLC38A1	81539	10015
ENSG00000106537.7	TSPAN13	27075	2224
ENSG00000109062.11	NHERF1	9368	2315
ENSG00000134107.4	BHLHE40	8553	3837
ENSG00000231389.7	HLA-DPA1	3113	5748
ENSG00000184292.6	TACSTD2	4070	2351
ENSG00000157227.12	MMP14	4323	4464
ENSG00000101825.7	MXRA5	25878	9793
ENSG00000124145.6	SDC4	6385	2613
ENSG00000171346.15	KRT15	3866	7069
ENSG00000143761.15	ARF1	375	3281
ENSG00000134871.17	COL4A2	1284	8706
ENSG00000105976.14	MET	4233	7039
ENSG00000013588.7	GPRC5A	9052	8440
ENSG00000256612.7	NA	NA	4064
ENSG00000273149.1	NA	NA	588
ENSG00000112096.16	NA	NA	18985
ENSG00000121039.9	RDH10	157506	5321
ENSG00000072310.16	SREBF1	6720	8030
ENSG00000035862.12	TIMP2	7077	5633
ENSG00000173821.19	RNF213	57674	28570
ENSG00000184330.11	S100A7A	338324	4457
ENSG00000138434.16	ITPRID2	6744	9582
ENSG00000115053.15	NCL	4691	6929
ENSG00000196405.12	EVL	51466	10621
ENSG00000118849.9	RARRES1	5918	2236
ENSG00000167978.16	SRRM2	23524	13266
ENSG00000108107.14	RPL28	6158	6933
ENSG00000166147.13	FBN1	2200	16057
ENSG00000063177.12	RPL18	6141	4209
ENSG00000124593.15	NA	NA	4479
ENSG00000122566.20	HNRNPA2B1	3181	7541
ENSG00000164125.15	GASK1B	51313	7880
ENSG00000204388.6	HSPA1B	3304	2521
ENSG00000143369.14	ECM1	1893	3360
ENSG00000137573.13	SULF1	23213	9404
ENSG00000139219.17	COL2A1	1280	6596
ENSG00000158258.16	CLSTN2	64084	14596
ENSG00000197956.9	S100A6	6277	971
ENSG00000149212.11	SESN3	143686	10573
ENSG00000187514.16	PTMA	5757	3378
ENSG00000134202.10	GSTM3	2947	4750
ENSG00000142937.11	RPS8	6202	2847
ENSG00000123384.13	LRP1	4035	20839
ENSG00000147676.13	MAL2	114569	3430
ENSG00000172551.10	MUCL1	118430	1250
ENSG00000280064.1	NA	NA	2385
ENSG00000189143.9	CLDN4	1364	4702
ENSG00000083857.13	FAT1	2195	16177
ENSG00000130203.9	APOE	348	2191
ENSG00000260032.1	NORAD	647979	5339
ENSG00000008988.9	RPS20	6224	3002
ENSG00000130402.11	ACTN4	81	6098
ENSG00000009307.15	CSDE1	7812	5778
ENSG00000182326.14	C1S	716	6462
ENSG00000160180.15	TFF3	7033	1168
ENSG00000275023.4	MLLT6	4302	13315
ENSG00000013583.8	HEBP1	50865	3442
ENSG00000107796.13	ACTA2	59	2976
ENSG00000143321.18	HDGF	3068	3745
ENSG00000065361.14	ERBB3	2065	8658
ENSG00000163017.13	ACTG2	72	3811
ENSG00000112378.11	PERP	64065	4290
ENSG00000104321.10	TRPA1	8989	6377
ENSG00000182768.8	NGRN	51335	7694
ENSG00000141232.4	TOB1	10140	2521
ENSG00000100867.14	DHRS2	10202	7556
ENSG00000166825.13	ANPEP	290	4871
ENSG00000262202.4	NA	NA	637
ENSG00000167526.13	RPL13	6137	6172
ENSG00000156804.7	FBXO32	114907	7395
ENSG00000170315.13	UBB	7314	1621
ENSG00000115677.16	HDLBP	3069	12182
ENSG00000213145.9	CRIP1	1396	2485
ENSG00000182054.9	IDH2	3418	2814
ENSG00000277947.1	NA	NA	218
ENSG00000281000.1	SNORD3D	780854	217
ENSG00000115648.13	MLPH	79083	7514
ENSG00000120875.8	DUSP4	1846	7257
ENSG00000158747.13	NBL1	4681	3465
ENSG00000213553.4	RPLP0P6	220717	954
ENSG00000257341.5	NA	NA	1408
ENSG00000137818.11	RPLP1	6176	3271
ENSG00000249242.7	TMEM150C	441027	3671
ENSG00000157601.13	MX1	4599	8616
ENSG00000113494.16	PRLR	5618	13108
ENSG00000214736.7	TOMM6	100188893	637
ENSG00000187498.14	COL4A1	1282	8188
ENSG00000137497.17	NUMA1	4926	15224
ENSG00000120708.16	TGFBI	7045	7810
ENSG00000122218.14	COPA	1314	6232
ENSG00000242076.2	IGKV1-33	28933	421
ENSG00000047457.13	CP	1356	7296
ENSG00000142089.15	IFITM3	10410	1348
ENSG00000183779.6	ZNF703	80139	3349
ENSG00000125868.15	DSTN	11034	3851
ENSG00000145592.13	RPL37	6167	8153
ENSG00000143878.9	RHOB	388	2372
ENSG00000270641.1	TSIX	9383	37027
ENSG00000006125.17	AP2B1	163	7587
ENSG00000128422.15	KRT17	3872	2537
ENSG00000167553.15	TUBA1C	84790	4631
ENSG00000174444.14	RPL4	6124	5637
ENSG00000117450.13	PRDX1	5052	1522
ENSG00000178719.16	GRINA	2907	2527
ENSG00000147548.16	NSD3	54904	15252
ENSG00000255508.7	NA	NA	5197
ENSG00000142534.6	RPS11	6205	1390
ENSG00000064651.13	SLC12A2	6558	10664
ENSG00000142676.12	RPL11	6135	1987
ENSG00000129103.17	SUMF2	25870	4101
ENSG00000182718.16	ANXA2	302	8824
ENSG00000254772.9	EEF1G	1937	2716
ENSG00000185479.5	KRT6B	3854	2282
ENSG00000178372.7	CALML5	51806	859
ENSG00000143933.16	CALM2	805	6466
ENSG00000123124.13	WWP1	11059	6336
ENSG00000198363.17	ASPH	444	20047
ENSG00000149591.16	TAGLN	6876	3917
ENSG00000177600.8	RPLP2	6181	1955
ENSG00000100201.20	DDX17	10521	9995
ENSG00000104332.11	SFRP1	6422	4761
ENSG00000124126.13	PREX1	57580	7393
ENSG00000134215.15	VAV3	10451	7271
ENSG00000167004.12	PDIA3	2923	4240
ENSG00000234797.5	RPS3AP6	145767	795
ENSG00000117632.22	STMN1	3925	6261
ENSG00000166913.12	YWHAB	7529	7933
ENSG00000270550.1	IGHV3-30	28439	431
ENSG00000169604.19	ANTXR1	84168	8185
ENSG00000153187.18	HNRNPU	3192	22512
ENSG00000175061.17	SNHG29	125144	3759
ENSG00000010278.12	CD9	928	3299
ENSG00000138755.5	CXCL9	4283	2740
ENSG00000189060.5	H1-0	3005	2344
ENSG00000112759.16	SLC29A1	2030	3333
ENSG00000242534.2	IGKV2D-28	28883	402
ENSG00000135535.15	CD164	8763	6842
ENSG00000102144.13	PGK1	5230	5415
ENSG00000213886.3	UBD	10537	1087
ENSG00000143418.19	CERS2	29956	4644
ENSG00000150593.17	PDCD4	27250	4547
ENSG00000117335.19	CD46	4179	8708
ENSG00000185885.15	IFITM1	8519	1080
ENSG00000069275.12	NUCKS1	64710	6546
ENSG00000237550.5	NA	NA	717
ENSG00000152767.16	FARP1	10160	36228
ENSG00000140287.10	HDC	3067	3956
ENSG00000124107.5	SLPI	6590	596
ENSG00000172270.18	BSG	682	3830
ENSG00000131771.13	PPP1R1B	84152	4554
ENSG00000185630.18	PBX1	5087	21249
ENSG00000211669.2	IGLV3-10	28803	386
ENSG00000146223.14	RPL7L1	285855	7809
ENSG00000167642.12	SPINT2	10653	5199
ENSG00000163430.11	FSTL1	11167	8727
ENSG00000211652.2	IGLV7-43	28776	385
ENSG00000232573.1	RPL3P4	326307	423
ENSG00000111669.14	TPI1	7167	2700
ENSG00000104368.17	PLAT	5327	6618
ENSG00000147677.10	EIF3H	8667	6434
ENSG00000211890.3	IGHA2	3494	1071
ENSG00000186847.5	KRT14	3861	2281
ENSG00000168036.16	CTNNB1	1499	6614
ENSG00000149136.8	SSRP1	6749	6323
ENSG00000121858.10	TNFSF10	8743	3473
ENSG00000140575.12	IQGAP1	8826	11535
ENSG00000242125.3	SNHG3	8420	4088
ENSG00000213442.5	RPL18AP3	390354	528
ENSG00000150093.18	ITGB1	3688	6011
ENSG00000152558.14	TMEM123	114908	4647
ENSG00000148175.12	STOM	2040	3198
ENSG00000204681.10	GABBR1	2550	8470
ENSG00000143549.19	TPM3	7170	8389
ENSG00000074181.8	NOTCH3	4854	9394
ENSG00000274266.1	SNORA73A	6080	206
ENSG00000261147.1	NA	NA	3838
ENSG00000004478.7	FKBP4	2288	5180
ENSG00000234851.4	RPL23AP42	647099	471
ENSG00000129514.5	FOXA1	3169	3982
ENSG00000175130.6	MARCKSL1	65108	1699
ENSG00000170889.13	RPS9	6203	4371
ENSG00000160789.19	LMNA	4000	6985
ENSG00000264772.6	NA	NA	4554
ENSG00000204580.13	DDR1	780	9122
ENSG00000173801.16	JUP	3728	4942
ENSG00000116260.16	QSOX1	5768	9311
ENSG00000111716.12	LDHB	3945	2983
ENSG00000174748.18	RPL15	6138	6528
ENSG00000105193.8	RPS16	6217	2603
ENSG00000251546.1	IGKV1D-39	28893	376
ENSG00000104529.17	EEF1D	1936	9390
ENSG00000115468.11	EFHD1	80303	3052
ENSG00000161011.19	SQSTM1	8878	7654
ENSG00000167552.13	TUBA1A	7846	3421
ENSG00000110955.8	ATP5F1B	506	2322
ENSG00000108953.16	YWHAE	7531	3847
ENSG00000136235.15	GPNMB	10457	5956
ENSG00000142798.17	HSPG2	3339	17684
ENSG00000187244.10	BCAM	4059	5024
ENSG00000075275.16	CELSR1	9620	12806
ENSG00000113719.15	ERGIC1	57222	14139
ENSG00000213759.9	UGT2B11	10720	2340
ENSG00000185215.8	TNFAIP2	7127	5029
ENSG00000115524.15	SF3B1	23451	9164
ENSG00000122406.12	RPL5	6125	2890
ENSG00000170540.14	ARL6IP1	23204	3666
ENSG00000112297.14	CRYBG1	202	10374
ENSG00000135387.20	CAPRIN1	4076	7689
ENSG00000159212.12	CLIC6	54102	3860
ENSG00000136167.13	LCP1	3936	5061
ENSG00000118705.16	RPN2	6185	2819
ENSG00000135404.11	CD63	967	2633
ENSG00000109814.11	UGDH	7358	4045
ENSG00000136156.12	ITM2B	9445	10210
ENSG00000170017.12	ALCAM	214	7179
ENSG00000134759.13	ELP2	55250	11068
ENSG00000123500.9	COL10A1	1300	3816
ENSG00000110651.11	CD81	975	7394
ENSG00000168743.12	NPNT	255743	6117
ENSG00000186832.8	KRT16	3868	2475
ENSG00000085733.15	CTTN	2017	6949
ENSG00000103257.8	SLC7A5	8140	4745
ENSG00000197102.10	DYNC1H1	1778	15826
ENSG00000185896.10	LAMP1	3916	5739
ENSG00000163468.14	CCT3	7203	4018
ENSG00000082641.15	NFE2L1	4779	5825
ENSG00000113296.14	THBS4	7060	4605
ENSG00000104267.9	CA2	760	2123
ENSG00000270136.5	NA	NA	2493
ENSG00000211945.2	IGHV1-18	28468	410
ENSG00000067560.10	RHOA	387	2582
ENSG00000082175.14	PGR	5241	15404
ENSG00000072274.12	TFRC	7037	7887
ENSG00000185650.9	ZFP36L1	677	5160
ENSG00000114867.20	EIF4G1	1981	8257
ENSG00000140988.15	RPS2	6187	2413
ENSG00000169083.16	AR	367	12775
ENSG00000159335.15	PTMS	5763	1475
ENSG00000134762.16	DSC3	1825	7056
ENSG00000144218.18	AFF3	3899	12737
ENSG00000143248.12	RGS5	8490	6821
ENSG00000268173.3	NA	NA	5142
ENSG00000164587.11	RPS14	6208	4544
ENSG00000245970.2	NA	NA	1989
ENSG00000118523.5	CCN2	1490	2339
ENSG00000103187.7	COTL1	23406	6762
ENSG00000140264.19	SERF2	10169	7347
ENSG00000089597.16	GANAB	23193	5027
ENSG00000142541.16	RPL13A	23521	2369
ENSG00000100097.11	LGALS1	3956	1099
ENSG00000197756.9	RPL37A	6168	6841
ENSG00000143870.12	PDIA6	10130	4101
ENSG00000083444.16	PLOD1	5351	5320
ENSG00000108829.9	LRRC59	55379	4570
ENSG00000241351.3	IGKV3-11	28914	392
ENSG00000072110.13	ACTN1	87	10626
ENSG00000108518.7	PFN1	5216	1987
ENSG00000172292.14	CERS6	253782	7241
ENSG00000198788.8	MUC2	4583	12667
ENSG00000148180.19	GSN	2934	11018
ENSG00000092820.17	EZR	7430	3342
ENSG00000110492.15	MDK	4192	2196
ENSG00000117362.12	APH1A	51107	3473
ENSG00000132470.13	ITGB4	3691	6761
ENSG00000168394.10	TAP1	6890	4578
ENSG00000257764.2	NA	NA	599
ENSG00000178209.14	PLEC	5339	16991
ENSG00000077942.18	FBLN1	2192	7285
ENSG00000101439.8	CST3	1471	3695
ENSG00000030582.17	GRN	2896	3680
ENSG00000211943.2	IGHV3-15	28448	437
ENSG00000131844.15	MCCC2	64087	6034
ENSG00000189343.7	RPS2P46	125208	883
ENSG00000162511.7	LAPTM5	7805	3274
ENSG00000140416.19	TPM1	7168	12492
ENSG00000250722.5	SELENOP	6414	5688
ENSG00000128595.16	CALU	813	4537
ENSG00000244437.1	IGKV3-15	28913	442
ENSG00000111885.6	MAN1A1	4121	5014
ENSG00000147475.14	ERLIN2	11160	9464
ENSG00000007202.14	BLTP2	9703	9235
ENSG00000154096.13	THY1	7070	5925
ENSG00000250182.3	NA	NA	1389
ENSG00000134240.11	HMGCS2	3158	2571
ENSG00000171428.13	NAT1	9	3168
ENSG00000162896.5	PIGR	5284	4376
ENSG00000101098.12	RIMS4	140730	5206
ENSG00000212232.1	SNORD17	692086	237
ENSG00000134308.13	YWHAQ	10971	2713
ENSG00000214530.8	STARD10	10809	4197
ENSG00000105220.14	GPI	2821	9112
ENSG00000134827.7	TCN1	6947	1586
ENSG00000083845.8	RPS5	6193	3617
ENSG00000135052.16	GOLM1	51280	4233
ENSG00000169504.14	CLIC4	25932	4495
ENSG00000231991.4	NA	NA	1020
ENSG00000171634.16	BPTF	2186	15098
ENSG00000070081.15	NUCB2	4925	8995
ENSG00000200312.1	NA	NA	313
ENSG00000118816.9	CCNI	10983	3741
ENSG00000140105.17	WARS1	7453	6358
ENSG00000155096.13	AZIN1	51582	6426
ENSG00000084207.15	GSTP1	2950	1915
ENSG00000146674.14	IGFBP3	3486	4571
ENSG00000144713.12	RPL32	6161	3720
ENSG00000164403.14	SHROOM1	134549	4420
ENSG00000198744.5	MTCO3P12	107075270	547
ENSG00000154380.17	ENAH	55740	15044
ENSG00000127954.12	STEAP4	79689	11245
ENSG00000149131.15	SERPING1	710	3603
