probe	SYMBOL	ENTREZID
ENSG00000004864.13	SLC25A13	10165
ENSG00000004866.20	ST7	7982
ENSG00000004897.11	CDC27	996
ENSG00000004939.13	SLC4A1	6521
ENSG00000004948.13	CALCR	799
ENSG00000004961.14	HCCS	3052
ENSG00000004975.11	DVL2	1856
ENSG00000005001.9	PRSS22	64063
ENSG00000005007.12	UPF1	5976
ENSG00000005020.12	SKAP2	8935
ENSG00000005022.5	SLC25A5	292
ENSG00000005059.15	MCUB	55013
ENSG00000005073.5	HOXA11	3207
ENSG00000005075.15	POLR2J	5439
ENSG00000005100.12	DHX33	56919
ENSG00000005102.12	MEOX1	4222
ENSG00000005108.15	THSD7A	221981
ENSG00000005156.11	LIG3	3980
ENSG00000005175.9	RPAP3	79657
ENSG00000005187.11	ACSM3	6296
ENSG00000005189.19	REXO5	81691
ENSG00000005194.14	CIAPIN1	57019
ENSG00000005206.16	SPPL2B	56928
ENSG00000005238.19	FAM214B	80256
ENSG00000005243.9	COPZ2	51226
ENSG00000005249.12	PRKAR2B	5577
ENSG00000005302.17	MSL3	10943
ENSG00000005339.14	CREBBP	1387
ENSG00000005379.15	TSPOAP1	9256
ENSG00000005381.7	MPO	4353
ENSG00000005421.8	PON1	5444
ENSG00000005436.13	GCFC2	6936
ENSG00000005448.16	WDR54	84058
ENSG00000005469.11	CROT	54677
ENSG00000005471.15	ABCB4	5244
ENSG00000005483.20	KMT2E	55904
ENSG00000005486.16	RHBDD2	57414
ENSG00000005513.9	SOX8	30812
ENSG00000005700.14	IBTK	25998
ENSG00000005801.16	ZNF195	7748
ENSG00000005810.17	MYCBP2	23077
ENSG00000005812.10	FBXL3	26224
ENSG00000005844.17	ITGAL	3683
ENSG00000005882.11	PDK2	5164
ENSG00000005884.17	ITGA3	3675
ENSG00000005889.15	ZFX	7543
ENSG00000005893.15	LAMP2	3920
ENSG00000005961.17	ITGA2B	3674
ENSG00000005981.12	ASB4	51666
ENSG00000006007.11	GDE1	51573
ENSG00000006015.17	C19orf60	55049
ENSG00000006016.10	CRLF1	9244
ENSG00000006025.11	OSBPL7	114881
ENSG00000006042.11	TMEM98	26022
ENSG00000006047.12	YBX2	51087
ENSG00000006059.3	KRT33A	3883
ENSG00000006062.14	MAP3K14	9020
ENSG00000006071.12	ABCC8	6833
ENSG00000006116.3	CACNG3	10368
ENSG00000006118.14	TMEM132A	54972
ENSG00000006125.17	AP2B1	163
ENSG00000006128.11	TAC1	6863
ENSG00000006194.9	ZNF263	10127
ENSG00000006210.6	CX3CL1	6376
ENSG00000006282.20	SPATA20	64847
ENSG00000006283.17	CACNA1G	8913
ENSG00000006327.13	TNFRSF12A	51330
ENSG00000006377.10	DLX6	1750
ENSG00000006432.15	MAP3K9	4293
ENSG00000006451.7	RALA	5898
ENSG00000006453.13	BAIAP2L1	55971
ENSG00000006459.10	KDM7A	80853
ENSG00000006468.13	ETV1	2115
ENSG00000006530.15	AGK	55750
ENSG00000006534.15	ALDH3B1	221
ENSG00000006555.10	TTC22	55001
ENSG00000006576.16	PHTF2	57157
ENSG00000006606.8	CCL26	10344
ENSG00000006607.13	FARP2	9855
ENSG00000006611.15	USH1C	10083
ENSG00000006625.17	GGCT	79017
ENSG00000006634.7	DBF4	10926
ENSG00000006638.11	TBXA2R	6915
ENSG00000006652.13	IFRD1	3475
ENSG00000006659.12	LGALS14	56891
ENSG00000006695.10	COX10	1352
ENSG00000006704.10	GTF2IRD1	9569
ENSG00000006712.14	PAF1	54623
ENSG00000006715.15	VPS41	27072
ENSG00000006740.16	ARHGAP44	9912
ENSG00000006744.18	ELAC2	60528
ENSG00000006747.14	SCIN	85477
ENSG00000006756.15	ARSD	414
ENSG00000006757.11	PNPLA4	8228
ENSG00000006788.13	MYH13	8735
ENSG00000006831.9	ADIPOR2	79602
ENSG00000006837.11	CDKL3	51265
ENSG00000007001.12	UPP2	151531
ENSG00000007038.10	PRSS21	10942
ENSG00000007047.14	MARK4	57787
ENSG00000007062.11	PROM1	8842
ENSG00000007080.10	CCDC124	115098
ENSG00000007129.17	CEACAM21	90273
ENSG00000007168.12	PAFAH1B1	5048
ENSG00000007171.16	NOS2	4843
ENSG00000007174.17	DNAH9	1770
ENSG00000007202.14	KIAA0100	9703
ENSG00000007216.14	SLC13A2	9058
ENSG00000007237.18	GAS7	8522
ENSG00000007255.10	TRAPPC6A	79090
ENSG00000007264.14	MATK	4145
ENSG00000007306.14	CEACAM7	1087
ENSG00000007312.12	CD79B	974
ENSG00000007314.12	SCN4A	6329
ENSG00000007341.18	ST7L	54879
ENSG00000007350.16	TKTL1	8277
ENSG00000007372.21	PAX6	5080
ENSG00000007376.7	RPUSD1	113000
ENSG00000007384.15	RHBDF1	64285
ENSG00000007392.16	LUC7L	55692
ENSG00000007402.11	CACNA2D2	9254
ENSG00000007516.13	BAIAP3	8938
ENSG00000007520.3	TSR3	115939
ENSG00000007541.16	PIGQ	9091
ENSG00000007545.15	CRAMP1	57585
ENSG00000007866.19	TEAD3	7005
ENSG00000007908.15	SELE	6401
ENSG00000007923.15	DNAJC11	55735
ENSG00000007933.12	FMO3	2328
ENSG00000007944.14	MYLIP	29116
ENSG00000007952.17	NOX1	27035
ENSG00000007968.6	E2F2	1870
ENSG00000008018.8	PSMB1	5689
ENSG00000008056.13	SYN1	6853
ENSG00000008083.13	JARID2	3720
ENSG00000008086.11	CDKL5	6792
ENSG00000008118.9	CAMK1G	57172
ENSG00000008128.22	CDK11A	728642
ENSG00000008130.15	NADK	65220
ENSG00000008196.12	TFAP2B	7021
ENSG00000008197.4	TFAP2D	83741
ENSG00000008226.19	DLEC1	9940
ENSG00000008256.15	CYTH3	9265
ENSG00000008277.14	ADAM22	53616
ENSG00000008282.8	SYPL1	6856
ENSG00000008283.15	CYB561	1534
ENSG00000008294.20	SPAG9	9043
ENSG00000008300.16	CELSR3	1951
ENSG00000008311.14	AASS	10157
ENSG00000008323.15	PLEKHG6	55200
ENSG00000008324.11	SS18L2	51188
ENSG00000008382.15	MPND	84954
ENSG00000008394.12	MGST1	4257
ENSG00000008405.11	CRY1	1407
ENSG00000008438.4	PGLYRP1	8993
ENSG00000008441.16	NFIX	4784
ENSG00000008513.14	ST3GAL1	6482
ENSG00000008516.16	MMP25	64386
ENSG00000008517.16	IL32	9235
ENSG00000008710.19	PKD1	5310
ENSG00000008735.13	MAPK8IP2	23542
ENSG00000008838.19	MED24	9862
ENSG00000008853.16	RHOBTB2	23221
ENSG00000008869.11	HEATR5B	54497
ENSG00000008952.16	SEC62	7095
ENSG00000008988.9	RPS20	6224
ENSG00000009307.15	CSDE1	7812
ENSG00000009335.17	UBE3C	9690
ENSG00000009413.15	REV3L	5980
ENSG00000009694.13	TENM1	10178
ENSG00000009709.11	PAX7	5081
ENSG00000009724.16	MASP2	10747
ENSG00000009765.14	IYD	389434
ENSG00000009780.15	FAM76A	199870
ENSG00000009790.14	TRAF3IP3	80342
ENSG00000009830.11	POMT2	29954
ENSG00000009844.15	VTA1	51534
ENSG00000009950.15	MLXIPL	51085
ENSG00000009954.10	BAZ1B	9031
ENSG00000010017.12	RANBP9	10048
ENSG00000010030.13	ETV7	51513
ENSG00000010072.15	SPRTN	83932
ENSG00000010165.19	METTL13	51603
ENSG00000010219.13	DYRK4	8798
ENSG00000010244.18	ZNF207	7756
ENSG00000010256.10	UQCRC1	7384
ENSG00000010270.13	STARD3NL	83930
ENSG00000010278.12	CD9	928
ENSG00000010282.14	HHATL	57467
ENSG00000010292.12	NCAPD2	9918
ENSG00000010295.19	IFFO1	25900
ENSG00000010310.8	GIPR	2696
ENSG00000010318.20	PHF7	51533
ENSG00000010319.6	SEMA3G	56920
ENSG00000010322.15	NISCH	11188
ENSG00000010327.10	STAB1	23166
ENSG00000010361.13	FUZ	80199
ENSG00000010379.15	SLC6A13	6540
ENSG00000010404.17	IDS	3423
ENSG00000010438.16	PRSS3	5646
ENSG00000010539.11	ZNF200	7752
ENSG00000010610.9	CD4	920
ENSG00000010626.14	LRRC23	10233
ENSG00000010671.15	BTK	695
ENSG00000010704.18	HFE	3077
ENSG00000010803.16	SCMH1	22955
ENSG00000010810.17	FYN	2534
ENSG00000010818.9	HIVEP2	3097
ENSG00000010932.16	FMO1	2326
ENSG00000011007.12	ELOA	6924
ENSG00000011009.10	LYPLA2	11313
ENSG00000011021.21	CLCN6	1185
ENSG00000011028.13	MRC2	9902
ENSG00000011052.21	NME1-NME2	654364
ENSG00000011083.8	SLC6A7	6534
ENSG00000011105.12	TSPAN9	10867
ENSG00000011114.14	BTBD7	55727
ENSG00000011132.11	APBA3	9546
ENSG00000011143.16	MKS1	54903
ENSG00000011198.7	ABHD5	51099
ENSG00000011201.11	ANOS1	3730
ENSG00000011243.17	AKAP8L	26993
ENSG00000011258.15	MBTD1	54799
ENSG00000011260.13	UTP18	51096
ENSG00000011275.18	RNF216	54476
ENSG00000011295.15	TTC19	54902
ENSG00000011304.19	PTBP1	5725
ENSG00000011332.19	DPF1	8193
ENSG00000011347.9	SYT7	9066
ENSG00000011376.9	LARS2	23395
ENSG00000011405.13	PIK3C2A	5286
ENSG00000011422.11	PLAUR	5329
ENSG00000011426.10	ANLN	54443
ENSG00000011451.17	WIZ	58525
ENSG00000011454.16	RABGAP1	23637
ENSG00000011465.16	DCN	1634
ENSG00000011478.11	QPCTL	54814
ENSG00000011485.14	PPP5C	5536
ENSG00000011523.13	CEP68	23177
ENSG00000011566.14	MAP4K3	8491
ENSG00000011590.13	ZBTB32	27033
ENSG00000011600.11	TYROBP	7305
ENSG00000011638.10	TMEM159	57146
ENSG00000011677.12	GABRA3	2556
ENSG00000012048.20	BRCA1	672
ENSG00000012061.15	ERCC1	2067
ENSG00000012124.16	CD22	933
ENSG00000012171.19	SEMA3B	7869
ENSG00000012174.11	MBTPS2	51360
ENSG00000012211.12	PRICKLE3	4007
ENSG00000012223.12	LTF	4057
ENSG00000012232.8	EXTL3	2137
ENSG00000012504.13	NR1H4	9971
ENSG00000012660.13	ELOVL5	60481
ENSG00000012779.10	ALOX5	240
ENSG00000012817.15	KDM5D	8284
ENSG00000012822.15	CALCOCO1	57658
ENSG00000012963.14	UBR7	55148
ENSG00000012983.11	MAP4K5	11183
ENSG00000013016.15	EHD3	30845
ENSG00000013275.7	PSMC4	5704
ENSG00000013288.8	MAN2B2	23324
ENSG00000013293.5	SLC7A14	57709
ENSG00000013297.10	CLDN11	5010
ENSG00000013306.15	SLC25A39	51629
ENSG00000013364.18	MVP	9961
ENSG00000013374.15	NUB1	51667
ENSG00000013375.15	PGM3	5238
ENSG00000013392.7	RWDD2A	112611
ENSG00000013441.15	CLK1	1195
ENSG00000013503.9	POLR3B	55703
ENSG00000013523.9	ANGEL1	23357
ENSG00000013561.17	RNF14	9604
ENSG00000013563.13	DNASE1L1	1774
ENSG00000013573.16	DDX11	1663
ENSG00000013583.8	HEBP1	50865
ENSG00000013588.7	GPRC5A	9052
ENSG00000013619.13	MAMLD1	10046
ENSG00000013725.14	CD6	923
ENSG00000013810.18	TACC3	10460
ENSG00000014123.9	UFL1	23376
ENSG00000014138.8	POLA2	23649
ENSG00000014164.6	ZC3H3	23144
ENSG00000014216.15	CAPN1	823
ENSG00000014257.15	ACPP	55
ENSG00000014641.17	MDH1	4190
ENSG00000014824.13	SLC30A9	10463
ENSG00000014914.20	MTMR11	10903
ENSG00000014919.12	COX15	1355
ENSG00000015133.18	CCDC88C	440193
ENSG00000015153.14	YAF2	10138
ENSG00000015171.19	ZMYND11	10771
ENSG00000015285.10	WAS	7454
ENSG00000015413.9	DPEP1	1800
ENSG00000015475.18	BID	637
ENSG00000015479.18	MATR3	9782
ENSG00000015520.14	NPC1L1	29881
ENSG00000015532.9	XYLT2	64132
ENSG00000015568.12	RGPD5	84220
ENSG00000015592.16	STMN4	81551
ENSG00000015676.17	NUDCD3	23386
ENSG00000016082.14	ISL1	3670
ENSG00000016391.10	CHDH	55349
ENSG00000016402.13	IL20RA	53832
ENSG00000016490.15	CLCA1	1179
ENSG00000016602.9	CLCA4	22802
ENSG00000016864.18	GLT8D1	55830
ENSG00000017260.19	ATP2C1	27032
ENSG00000017427.15	IGF1	3479
ENSG00000017483.14	SLC38A5	92745
ENSG00000017797.12	RALBP1	10928
ENSG00000018189.12	RUFY3	22902
ENSG00000018236.14	CNTN1	1272
ENSG00000018280.16	SLC11A1	6556
ENSG00000018408.14	WWTR1	25937
ENSG00000018510.13	AGPS	8540
ENSG00000018610.13	CXorf56	63932
ENSG00000018625.14	ATP1A2	477
ENSG00000018699.11	TTC27	55622
ENSG00000018869.16	ZNF582	147948
ENSG00000019102.11	VSIG2	23584
ENSG00000019144.18	PHLDB1	23187
ENSG00000019169.10	MARCO	8685
ENSG00000019186.9	CYP24A1	1591
ENSG00000019485.13	PRDM11	56981
ENSG00000019505.7	SYT13	57586
ENSG00000019549.9	SNAI2	6591
ENSG00000019582.14	CD74	972
ENSG00000019991.15	HGF	3082
ENSG00000019995.6	ZRANB1	54764
ENSG00000020129.15	NCDN	23154
ENSG00000020181.17	ADGRA2	25960
ENSG00000020256.19	ZFP64	55734
ENSG00000020426.10	MNAT1	4331
ENSG00000020577.13	SAMD4A	23034
ENSG00000020633.18	RUNX3	864
ENSG00000020922.12	MRE11	4361
ENSG00000021300.13	PLEKHB1	58473
ENSG00000021355.12	SERPINB1	1992
ENSG00000021461.16	CYP3A43	64816
ENSG00000021488.12	SLC7A9	11136
ENSG00000021574.11	SPAST	6683
ENSG00000021645.18	NRXN3	9369
ENSG00000021762.19	OSBPL5	114879
ENSG00000021776.10	AQR	9716
ENSG00000021826.14	CPS1	1373
ENSG00000021852.12	C8B	732
ENSG00000022267.16	FHL1	2273
ENSG00000022277.12	RTFDC1	51507
ENSG00000022355.16	GABRA1	2554
ENSG00000022556.15	NLRP2	55655
ENSG00000022567.9	SLC45A4	57210
ENSG00000022840.15	RNF10	9921
ENSG00000022976.15	ZNF839	55778
ENSG00000023041.11	ZDHHC6	64429
ENSG00000023171.16	GRAMD1B	57476
ENSG00000023191.16	RNH1	6050
ENSG00000023228.13	NDUFS1	4719
ENSG00000023287.12	RB1CC1	9821
ENSG00000023318.7	ERP44	23071
ENSG00000023330.14	ALAS1	211
ENSG00000023445.13	BIRC3	330
ENSG00000023516.8	AKAP11	11215
ENSG00000023572.8	GLRX2	51022
ENSG00000023608.4	SNAPC1	6617
ENSG00000023697.12	DERA	51071
ENSG00000023734.10	STRAP	11171
ENSG00000023839.10	ABCC2	1244
ENSG00000023892.10	DEF6	50619
ENSG00000023902.13	PLEKHO1	51177
ENSG00000023909.9	GCLM	2730
ENSG00000024048.10	UBR2	23304
ENSG00000024422.11	EHD2	30846
ENSG00000024526.16	DEPDC1	55635
ENSG00000024862.17	CCDC28A	25901
ENSG00000025039.14	RRAGD	58528
ENSG00000025156.12	HSF2	3298
ENSG00000025293.16	PHF20	51230
ENSG00000025423.11	HSD17B6	8630
ENSG00000025434.18	NR1H3	10062
ENSG00000025708.13	TYMP	1890
ENSG00000025770.18	NCAPH2	29781
ENSG00000025772.7	TOMM34	10953
ENSG00000025796.13	SEC63	11231
ENSG00000025800.13	KPNA6	23633
ENSG00000026025.15	VIM	7431
ENSG00000026103.21	FAS	355
ENSG00000026297.15	RNASET2	8635
ENSG00000026508.17	CD44	960
ENSG00000026559.13	KCNG1	3755
ENSG00000026652.13	AGPAT4	56895
ENSG00000026751.16	SLAMF7	57823
ENSG00000026950.16	BTN3A1	11119
ENSG00000027001.9	MIPEP	4285
ENSG00000027075.14	PRKCH	5583
ENSG00000027644.4	INSRR	3645
ENSG00000027697.13	IFNGR1	3459
ENSG00000027847.13	B4GALT7	11285
ENSG00000027869.11	SH2D2A	9047
ENSG00000028116.16	VRK2	7444
ENSG00000028137.18	TNFRSF1B	7133
ENSG00000028203.17	VEZT	55591
ENSG00000028277.21	POU2F2	5452
ENSG00000028310.17	BRD9	65980
ENSG00000028528.14	SNX1	6642
ENSG00000028839.9	TBPL1	9519
ENSG00000029153.14	ARNTL2	56938
ENSG00000029363.16	BCLAF1	9774
ENSG00000029364.11	SLC39A9	55334
ENSG00000029534.19	ANK1	286
ENSG00000029559.6	IBSP	3381
ENSG00000029639.10	TFB1M	51106
ENSG00000029725.16	RABEP1	9135
ENSG00000029993.14	HMGB3	3149
ENSG00000030066.13	NUP160	23279
ENSG00000030110.12	BAK1	578
ENSG00000030304.13	MUSK	4593
ENSG00000030419.16	IKZF2	22807
ENSG00000030582.17	GRN	2896
ENSG00000031003.10	FAM13B	51306
ENSG00000031081.10	ARHGAP31	57514
ENSG00000031691.6	CENPQ	55166
ENSG00000031698.12	SARS	6301
ENSG00000031823.14	RANBP3	8498
ENSG00000032219.18	ARID4A	5926
ENSG00000032389.12	EIPR1	7260
ENSG00000032444.15	PNPLA6	10908
ENSG00000032742.17	IFT88	8100
ENSG00000033011.11	ALG1	56052
ENSG00000033030.13	ZCCHC8	55596
ENSG00000033050.7	ABCF2	10061
ENSG00000033100.16	CHPF2	54480
ENSG00000033122.18	LRRC7	57554
ENSG00000033170.16	FUT8	2530
ENSG00000033178.12	UBA6	55236
ENSG00000033327.12	GAB2	9846
ENSG00000033627.16	ATP6V0A1	535
ENSG00000033800.13	PIAS1	8554
ENSG00000033867.16	SLC4A7	9497
ENSG00000034053.14	APBA2	321
ENSG00000034152.18	MAP2K3	5606
ENSG00000034239.10	EFCAB1	79645
ENSG00000034510.5	TMSB10	9168
ENSG00000034533.11	ASTE1	28990
ENSG00000034677.12	RNF19A	25897
ENSG00000034693.14	PEX3	8504
ENSG00000034713.7	GABARAPL2	11345
ENSG00000034971.16	MYOC	4653
ENSG00000035115.21	SH3YL1	26751
ENSG00000035141.7	FAM136A	84908
ENSG00000035403.17	VCL	7414
ENSG00000035499.12	DEPDC1B	55789
ENSG00000035664.11	DAPK2	23604
ENSG00000035681.7	NSMAF	8439
ENSG00000035687.9	ADSS	159
ENSG00000035720.7	STAP1	26228
ENSG00000035862.12	TIMP2	7077
ENSG00000035928.15	RFC1	5981
ENSG00000036054.12	TBC1D23	55773
ENSG00000036257.12	CUL3	8452
ENSG00000036448.9	MYOM2	9172
ENSG00000036473.6	OTC	5009
ENSG00000036530.8	CYP46A1	10858
ENSG00000036549.12	ZZZ3	26009
ENSG00000036565.14	SLC18A1	6570
ENSG00000036672.15	USP2	9099
ENSG00000036828.15	CASR	846
ENSG00000037042.8	TUBG2	27175
ENSG00000037241.7	RPL26L1	51121
ENSG00000037280.15	FLT4	2324
ENSG00000037474.14	NSUN2	54888
ENSG00000037637.10	FBXO42	54455
ENSG00000037749.11	MFAP3	4238
ENSG00000037757.13	MRI1	84245
ENSG00000037897.16	METTL1	4234
ENSG00000037965.5	HOXC8	3224
ENSG00000038002.8	AGA	175
ENSG00000038210.12	PI4K2B	55300
ENSG00000038219.12	BOD1L1	259282
ENSG00000038274.16	MAT2B	27430
ENSG00000038295.7	TLL1	7092
ENSG00000038358.14	EDC4	23644
ENSG00000038382.18	TRIO	7204
ENSG00000038427.15	VCAN	1462
ENSG00000038532.14	CLEC16A	23274
ENSG00000038945.14	MSR1	4481
ENSG00000039068.18	CDH1	999
ENSG00000039123.15	SKIV2L2	23517
ENSG00000039139.9	DNAH5	1767
ENSG00000039319.16	ZFYVE16	9765
ENSG00000039523.19	RIPOR1	79567
ENSG00000039537.13	C6	729
ENSG00000039560.13	RAI14	26064
ENSG00000039600.10	SOX30	11063
ENSG00000039650.11	PNKP	11284
ENSG00000039987.6	BEST2	54831
ENSG00000040199.18	PHLPP2	23035
ENSG00000040275.16	SPDL1	54908
ENSG00000040341.17	STAU2	27067
ENSG00000040487.12	PQLC2	54896
ENSG00000040531.14	CTNS	1497
ENSG00000040608.13	RTN4R	65078
ENSG00000040633.12	PHF23	79142
ENSG00000040731.10	CDH10	1008
ENSG00000040933.15	INPP4A	3631
ENSG00000041353.9	RAB27B	5874
ENSG00000041357.15	PSMA4	5685
ENSG00000041515.15	MYO16	23026
ENSG00000041802.10	LSG1	55341
ENSG00000041880.14	PARP3	10039
ENSG00000041982.15	TNC	3371
ENSG00000041988.15	THAP3	90326
ENSG00000042062.11	RIPOR3	140876
ENSG00000042088.13	TDP1	55775
ENSG00000042286.14	AIFM2	84883
ENSG00000042304.11	C2orf83	56918
ENSG00000042317.16	SPATA7	55812
ENSG00000042429.11	MED17	9440
ENSG00000042445.13	RETSAT	54884
ENSG00000042493.15	CAPG	822
ENSG00000042753.11	AP2S1	1175
ENSG00000042781.12	USH2A	7399
ENSG00000042813.7	ZPBP	11055
ENSG00000042832.11	TG	7038
ENSG00000042980.12	ADAM28	10863
ENSG00000043039.6	BARX2	8538
ENSG00000043093.13	DCUN1D1	54165
ENSG00000043143.20	JADE2	23338
ENSG00000043355.11	ZIC2	7546
ENSG00000043462.11	LCP2	3937
ENSG00000043514.15	TRIT1	54802
ENSG00000043591.5	ADRB1	153
ENSG00000044012.3	GUCA2B	2981
ENSG00000044090.8	CUL7	9820
ENSG00000044115.20	CTNNA1	1495
ENSG00000044446.11	PHKA2	5256
ENSG00000044459.14	CNTLN	54875
ENSG00000044524.10	EPHA3	2042
ENSG00000044574.7	HSPA5	3309
ENSG00000046604.12	DSG2	1829
ENSG00000046647.13	GEMIN8	54960
ENSG00000046651.14	OFD1	8481
ENSG00000046653.14	GPM6B	2824
ENSG00000046774.9	MAGEC2	51438
ENSG00000046889.18	PREX2	80243
ENSG00000047056.14	WDR37	22884
ENSG00000047188.15	YTHDC2	64848
ENSG00000047230.14	CTPS2	56474
ENSG00000047249.17	ATP6V1H	51606
ENSG00000047315.15	POLR2B	5431
ENSG00000047346.12	FAM214A	56204
ENSG00000047365.11	ARAP2	116984
ENSG00000047410.13	TPR	7175
ENSG00000047457.13	CP	1356
ENSG00000047578.12	KIAA0556	23247
ENSG00000047579.19	DTNBP1	84062
ENSG00000047597.5	XK	7504
ENSG00000047617.14	ANO2	57101
ENSG00000047621.11	C12orf4	57102
ENSG00000047634.14	SCML1	6322
ENSG00000047644.18	WWC3	55841
ENSG00000047648.21	ARHGAP6	395
ENSG00000047662.4	FAM184B	27146
ENSG00000047849.21	MAP4	4134
ENSG00000047932.13	GOPC	57120
ENSG00000047936.10	ROS1	6098
ENSG00000048028.11	USP28	57646
ENSG00000048052.21	HDAC9	9734
ENSG00000048140.17	TSPAN17	26262
ENSG00000048162.20	NOP16	51491
ENSG00000048342.15	CC2D2A	57545
ENSG00000048392.11	RRM2B	50484
ENSG00000048405.9	ZNF800	168850
ENSG00000048462.10	TNFRSF17	608
ENSG00000048471.13	SNX29	92017
ENSG00000048540.14	LMO3	55885
ENSG00000048544.5	MRPS10	55173
ENSG00000048545.13	GUCA1A	2978
ENSG00000048649.13	RSF1	51773
ENSG00000048707.13	VPS13D	55187
ENSG00000048740.18	CELF2	10659
ENSG00000048828.16	FAM120A	23196
ENSG00000048991.16	R3HDM1	23518
ENSG00000049089.13	COL9A2	1298
ENSG00000049130.14	KITLG	4254
ENSG00000049167.13	ERCC8	1161
ENSG00000049192.14	ADAMTS6	11174
ENSG00000049239.12	H6PD	9563
ENSG00000049245.12	VAMP3	9341
ENSG00000049246.14	PER3	8863
ENSG00000049247.13	UTS2	10911
ENSG00000049249.8	TNFRSF9	3604
ENSG00000049283.17	EPN3	55040
ENSG00000049323.15	LTBP1	4052
ENSG00000049449.8	RCN1	5954
ENSG00000049540.16	ELN	2006
ENSG00000049541.10	RFC2	5982
ENSG00000049618.22	ARID1B	57492
ENSG00000049656.13	CLPTM1L	81037
ENSG00000049759.17	NEDD4L	23327
ENSG00000049768.14	FOXP3	50943
ENSG00000049769.12	PPP1R3F	89801
ENSG00000049860.13	HEXB	3074
ENSG00000049883.14	PTCD2	79810
ENSG00000050030.13	NEXMIF	340533
ENSG00000050130.17	JKAMP	51528
ENSG00000050165.17	DKK3	27122
ENSG00000050327.14	ARHGEF5	7984
ENSG00000050344.8	NFE2L3	9603
ENSG00000050393.11	MCUR1	63933
ENSG00000050405.13	LIMA1	51474
ENSG00000050426.15	LETMD1	25875
ENSG00000050438.16	SLC4A8	9498
ENSG00000050555.17	LAMC3	10319
ENSG00000050628.20	PTGER3	5733
ENSG00000050730.15	TNIP3	79931
ENSG00000050748.17	MAPK9	5601
ENSG00000050767.15	COL23A1	91522
ENSG00000050820.16	BCAR1	9564
ENSG00000051009.10	FAM160A2	84067
ENSG00000051108.14	HERPUD1	9709
ENSG00000051128.18	HOMER3	9454
ENSG00000051180.16	RAD51	5888
ENSG00000051341.13	POLQ	10721
ENSG00000051382.8	PIK3CB	5291
ENSG00000051523.10	CYBA	1535
ENSG00000051596.9	THOC3	84321
ENSG00000051620.10	HEBP2	23593
ENSG00000051825.14	MPHOSPH9	10198
ENSG00000052126.14	PLEKHA5	54477
ENSG00000052344.15	PRSS8	5652
ENSG00000052723.11	SIKE1	80143
ENSG00000052749.13	RRP12	23223
ENSG00000052795.12	FNIP2	57600
ENSG00000052802.12	MSMO1	6307
ENSG00000052841.14	TTC17	55761
ENSG00000052850.5	ALX4	60529
ENSG00000053108.16	FSTL4	23105
ENSG00000053254.15	FOXN3	1112
ENSG00000053328.8	METTL24	728464
